time,x,y,z
3354,-13,-15,103
3357,-36,-45,2
3360,-87,11,-32
3363,-70,82,62
3366,-12,80,89
3369,24,76,31
3371,34,-64,-177
3374,19,-56,-133
3377,24,-54,-22
3380,35,-17,147
3383,11,86,77
3386,-11,-10,-68
3389,-12,-22,-31
3392,-31,-82,-4
3395,-14,-16,-30
3398,-32,95,-38
3401,-22,23,59
3404,-2,6,27
3407,29,-6,-16
3410,62,-54,35
3413,41,-16,-9
3416,-48,-45,-80
3419,-44,-17,-31
3422,31,-71,90
3425,38,-149,115
3428,8,-82,54
3431,-56,45,-55
3434,-62,106,-63
3437,-45,82,-45
3440,38,38,46
3442,54,-2,-20
3445,64,-62,-85
3448,25,-61,-32
3451,-10,82,83
3454,-67,78,98
3457,-50,-17,57
3460,13,-120,-17
3463,20,-149,-17
3466,-57,81,-4
3469,-36,47,-27
3472,11,13,-25
3475,40,62,23
3478,49,10,27
3481,33,-88,-11
3484,-16,-21,-40
3487,-52,30,8
3490,-22,1,50
3493,8,-18,55
3496,14,50,-33
3499,-8,34,-67
3502,-24,2,-66
3505,-21,0,52
3508,1,-35,31
3512,92,-42,-31
3515,73,-29,-75
3518,-31,-24,6
3521,-99,103,59
3524,-245,410,0
3527,-89,448,-17
3530,26,-42,15
3533,43,18,84
3535,286,72,219
3538,570,-1482,790
3541,683,-2500,1256
3544,568,-2840,303
3547,182,611,-1623
3550,-129,2468,-1163
3553,-513,2893,-465
3556,-832,1080,-369
3559,-778,753,46
3561,-524,237,818
3564,-323,-109,652
3567,-157,-203,232
3570,167,317,249
3573,127,274,188
3576,167,-1376,-213
3579,238,-1774,-351
3582,437,-1427,-271
3585,434,116,-66
3588,347,-43,-22
3591,305,-229,18
3594,106,-380,70
3597,137,-48,307
3600,8,-21,514
3603,-75,127,558
3606,-257,958,-276
3609,-290,1040,-623
3612,-469,561,-876
3615,-379,218,-179
3618,-268,70,100
3621,115,-149,398
3623,140,-89,279
3626,140,-634,91
3630,220,-535,-194
3633,193,-363,-216
3636,226,-296,-153
3639,130,-190,-54
3642,-70,-85,171
3645,-133,152,160
3648,-38,218,258
3651,-19,268,127
3654,-38,233,-125
3657,25,344,-356
3659,34,116,-179
3662,30,151,134
3666,-214,-31,102
3669,-169,-89,73
3672,9,-179,92
3675,53,-190,50
3678,100,-213,-142
3681,117,-288,-189
3684,31,-9,-39
3687,-61,54,-37
3690,-81,184,-73
3693,52,91,201
3696,71,45,394
3699,53,-56,179
3702,23,90,-15
3705,-81,20,-396
3708,-107,47,-155
3711,-125,167,48
3714,-78,-60,83
3717,23,-87,-36
3720,156,-482,-42
3723,170,-305,-15
3726,157,-33,183
3729,40,124,44
3731,-30,154,-203
3734,-127,390,-148
3737,-127,257,44
3740,-113,-24,197
3743,-95,-155,83
3746,-3,-208,-35
3749,113,43,-63
3752,94,20,-7
3755,32,38,-8
3759,42,-95,84
3762,22,-42,73
3764,-5,5,-125
3767,10,-128,-191
3770,-74,-131,131
3773,-142,-50,148
3776,9,177,-106
3779,61,229,-199
3782,52,269,-134
3785,-40,180,112
3788,-31,52,96
3791,-11,-105,-95
3794,54,-79,-45
3797,48,-144,3
3800,41,-70,82
3803,-9,-9,89
3806,-28,-190,84
3809,-42,-109,-66
3812,-60,132,-37
3815,-44,192,-53
3818,0,123,-49
3821,82,-193,17
3824,39,-129,74
3827,19,36,56
3830,-9,184,-75
3833,-46,260,-57
3836,-52,127,34
3839,-22,-4,27
3842,-23,-99,-81
3845,-64,-155,1
3848,12,-147,61
3851,60,-111,4
3854,56,-9,-20
3857,1,144,33
3860,-38,2,56
3863,-44,40,-28
3866,-34,45,-95
3869,-28,28,-87
3872,-30,-152,75
3875,-26,-94,60
3878,-37,94,-21
3881,36,156,5
3883,29,87,-3
3886,-4,-37,-73
3889,-10,-49,-74
3893,10,-16,9
3895,-16,-11,27
3898,-48,-45,51
3902,-42,27,33
3905,-11,-20,24
3908,20,-22,1
3911,20,10,-33
3914,29,32,-52
3916,19,59,-14
3919,17,60,-19
3922,33,-152,2
3925,33,-170,55
3928,19,-48,99
3931,11,23,22
3934,2,116,-4
3937,-40,60,-116
3940,-58,82,-93
3943,-28,89,-46
3946,23,-36,49
3948,27,-52,69
3951,29,-104,10
3954,42,-18,-38
3957,23,77,19
3960,-15,56,57
3963,18,-42,20
3966,23,-32,-16
3969,-31,-39,-29
3972,-36,-50,2
3975,-6,-106,59
3978,14,-67,49
3981,46,53,6
3984,67,75,-38
3987,57,-18,-69
3991,0,-16,-15
3994,16,11,40
3996,-4,64,2
3999,-42,89,-54
4002,-77,-2,17
4005,-43,-62,68
4008,-30,-25,65
4011,31,2,-16
4014,71,-31,-57
4017,60,8,-31
4020,31,59,-25
4023,24,-11,14
4026,10,-101,20
4029,-5,-160,35
4032,-34,-16,21
4035,-38,115,3
4038,-48,104,-27
4041,-48,67,-30
4044,-16,-2,-4
4047,37,-18,-27
4050,43,-7,-58
4053,10,-63,0
4056,4,-42,40
4059,16,-1,58
